SKU,Product Name,Product Description,External Image URL,Wordpress Media Library URL
370150,Nike AirMax 1 G,"The Nike Air Max 1, which made its debut in 1987, is known for being the first Nike model to show Nike's Air Max technology with a visible Air-Sole unit. Developed by an independent inventor (who was originally turned down by Adidas), Air Max technology provides superior cushioning and impact absorption, which is critical for runners. The Air Max 1 was also designed with a nylon/synthetic upper for lockdown support and excellent ventilation.",https://images-na.ssl-images-amazon.com/images/I/71yG3Iec2%2BL._AC_UX575_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike AirMax 1 G.jpg
370150,Puma Ignite NXT Disc,"The iconic ignite spikeless franchise has been taken to the net level! built from the ground up with pro form TPU outsole with an organically-altered traction pattern. A full length ignite foam midsole, wrapped in soleshield for added durability, provides unparalleled comfort and energy return to help you feel and play your best all day long. The upper features a flat-knit waterproof mesh vamp with pwrframe reinforcement, and decoupled pwrcage pieces incorporated with puma's disc technology provide quick, easy, and secure fit. The innovative materials and progressive design provide the performance you need on the course and the style you need while off it.",https://images-na.ssl-images-amazon.com/images/I/71YIV2qMWYL._AC_UX535_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Puma Ignite NXT Disc.jpg
370150,Ecco 100543 Biom Hybrid,"Whether you are hitting an approach to the green, or going for a stroll after your round, you are sure to benefit from the BIOM Hybrid 3's innovative outsole, called ECCO Tri-Fi-Grip. With three different zones- one for stability, one for durability and another for rotation- the outsole assist you from back-swing to follow-through. Crafted with BIOM technology to encourage more natural walking motion and enable more power efficiency, as well as enhancing feeling and stability.CCO is a European shoe company founded in Denmark in 1963. Today they own and operate factories throughout Europe and Asia. They produce all the leather used in making Ecco shoes, taking measures to protect the environment at the same time. Their sole aim is to make a comfortable walking shoe. Stretchable double-layer neoprene offers soft padding for your feet",https://images-na.ssl-images-amazon.com/images/I/51ofjS6QiOL._AC_UY535_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Ecco 100543 Biom Hybrid.jpg
370150,Ecco Biom Hybrid 3,"Whether you are hitting an approach to the green, or going for a stroll after your round, you are sure to benefit from the BIOM Hybrid 3's innovative outsole, called ECCO Tri-Fi-Grip. With three different zones- one for stability, one for durability and another for rotation- the outsole assist you from back-swing to follow-through. Crafted with BIOM technology to encourage more natural walking motion and enable more power efficiency, as well as enhancing feeling and stability.ECCO is a European shoe company founded in Denmark in 1963. Today they own and operate factories throughout Europe and Asia. They produce all the leather used in making Ecco shoes, taking measures to protect the environment at the same time. Their sole aim is to make a comfortable walking shoe. Stretchable double-layer neoprene offers soft padding for your feet",https://images-na.ssl-images-amazon.com/images/I/51ofjS6QiOL._AC_UY535_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Ecco Biom Hybrid 3.jpg
370150,FJ Sandal,"Simple yet refined, this strappy sandal is ready for warmer weather with a cushioned footbed and espadrille-style jute trim. - Adjustable hook-and-loop strap - Leather upper and lining/rubber sole - Imported - Women's Shoes Materials Upper: 100% LeatherMidsole: 100% RopeOutsole: 100% RubberLiner: 100% Leather",https://images-na.ssl-images-amazon.com/images/I/61yuNzHxD9L._AC_UY575_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Sandal.jpg
370150,FJ Sport Retro Shoe,"These spike less shoes feature a lightweight linen-textured look. The molded rubber outsole delivers increased grip and traction. This spike less design provides flexibility and comfort, Ideal for playing in diverse playing conditions.",https://images-na.ssl-images-amazon.com/images/I/71noYPH9G8L._AC_UY695_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Sport Retro Shoe.jpg
370150,FJ Leisure Spikeless,"Fj leisure golf shoes are a perfect blend of lightweight comfort and athletic styling. Fj, the #1 shoe in golf.",https://images-na.ssl-images-amazon.com/images/I/71Z9gWuRW8L._AC_UY575_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Leisure Spikeless.jpg
370150,FJ Flex Spikeless Shoe,Discover the athletic-infused styling of the all-new waterproof fj flex XP.,https://images-na.ssl-images-amazon.com/images/I/71tei1YPu3L._AC_UY535_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/FJ Flex Spikeless Shoe.jpg
370150,Nike Air Max 1 Golf Shoe,Nike Air Max 1 G Mens Golf Shoes AQ0863 Sneakers Trainers,https://images-na.ssl-images-amazon.com/images/I/71bZ%2BJai15L._AC_UX675_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Air Max 1 Golf Shoe.jpg
370150,Nike Cortez Golf Shoe,"Look your best on the course with the Nike Cortez G Golf Shoes, inspired by classic kicks from the '70s.",https://images-na.ssl-images-amazon.com/images/I/71pw6uz7rUL._AC_UY695_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Cortez Golf Shoe.jpg
370150,Nike Wmns Roshe Golf Shoe,The Roshe G Golf Shoes get you there. The pressure-mapped outsole provides targeted traction to key areas of the foot so that you feel confident and secure during your swing.,https://images-na.ssl-images-amazon.com/images/I/515Z3IwdhbL._AC_UY625_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Wmns Roshe Golf Shoe.jpg
